,Offense_Type,Category
0,CRIMINAL POSS OF PISTOL/REVOLVER      DF,Weapons
1,VIOLATION OF PROBATION OR COND DISCHG,Probation
2,CRIMINAL ATTEMPT,Attempt
3,CRIM VIOL OF PROTECTIVE ORDER         DF,Order
4,CRIM VIOL ST CRIM RESTR ORDER         DF,Order
5,"ASSAULT 2ND, VICTIM 60 OR OVER        DF",Person
6,INTERFERING WITH AN OFFICER           AM,Person
7,"LARCENY, SECOND DEGREE                CF",Property
8,MURDER                                AF,Person
9,"ASSAULT, SECOND DEGREE                DF",Person
10,ARREST WARRANT,Order
11,YOUTHFUL OFFENDER,Juvenile
12,"UNLAWFUL RESTRAINT, FIRST DEGREE      DF",Person
13,"LARCENY, FIRST DEGREE                 BF",Property
14,"CRIMINAL TRESPASS, THIRD DEGREE       CM",Property
15,"STALKING, 1ST DEGREE                  DF",Person
16,"BURGLARY, THIRD DEGREE                DF",Property
17,SALE OF NARC/AMPHET BY NON-DEPENDENT   F,Drugs
18,ASSAULT 2ND DEGREE WITH A FIREARM     DF,Weapons
19,"FORGERY, FIRST DEGREE                 CF",Property
20,JUVENILE TRANSFER,Juvenile
21,CONSPIRACY,Attempt
22,"SEXUAL ASSAULT, FIRST DEGREE           F",Person
23,ASSAULT ON POLICE OR FIRE OFFICER     CF,Person
24,"FORGERY, SECOND DEGREE                DF",Property
25,"ASSAULT 3RD DEGREE, VICTIM OVER 59    AM",Person
26,STEALING A FIREARM                    DF,Weapons
27,"SEXUAL ASSAULT, SECOND DEGREE          F",Person
28,CRIMINAL POSSESSION OF A PISTOL       DF,Weapons
29,"LARCENY, THIRD DEGREE                 DF",Property
30,"ROBBERY, FIRST DEGREE                 BF",Property
31,SEXUAL ASSAULT 1ST DEGREE-AGGRVTD      F,Person
32,HOME INVASION                         AF,Property
33,"BURGLARY, SECOND DEGREE               CF",Property
34,"SALE OF HEROIN, COC BY NON-DEPENDENT",Drugs
35,INJURY OR RISK OF INJURY TO MINOR      F,Person
36,"ARSON, FIRST DEGREE                   AF",Property
37,INCITING INJURY TO PERSONS OR PROPTY  CF,Person
38,STRANGULATION 3RD DEGREE,Person
39,"FAILURE TO APPEAR, FIRST DEGREE       DF",Order
40,CARRYING WEAPONS WITHOUT A PERMIT      F,Weapons
41,THREATENING                           AM,Person
42,"RECKLESS ENDANGERMENT, FIRST DEGREE   AM",Person
43,"ASSAULT, FIRST DEGREE                 BF",Person
44,"ASSAULT, 1ST VICTIM 60 OR OVER        BF",Person
45,"ROBBERY, THIRD DEGREE                 DF",Property
46,"LARCENY, FOURTH DEGREE                AM",Property
47,"HARASSMENT, 2ND DEGREE                CM",Person
48,SPECIAL PAROLE,Probation
49,VIOLATION OF CONDITIONS OF RELEASE,Probation
50,IDENTITY THEFT 2ND DEGREE             CF,Person
51,STRANGULATION 2ND DEGREE              DF,Person
52,VIOLATE COND OF RELEASE-2ND DEG       AM,Probation
53,CRUELTY TO PERSONS,Person
54,ALTERING OR REMOVING IDENT NUMBER      F,Property
55,CRIM VIOL OF PROTECTIVE ORDER         AM,Order
56,POSSESSING CHILD PORNOGRAPH            F,Person
57,OPERATING UNDER SUSPENDED LIC OR REG.  M,Order
58,CREDIT CARD THEFT,Property
59,"BURGLARY, FIRST DEGREE                BF",Property
60,"MANSLAUGHTER, SECOND DEGREE           CF",Person
61,EVADING RESPONSIBILITY                 M,Order
62,"ASSAULT, THIRD DEGREE                 AM",Person
63,"LARCENY, FIFTH DEGREE                 BM",Property
64,SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE  F,Drugs
65,ARREST WITHOUT WARRANT,Order
66,CRIMINAL IMPERSONATION                BM,Person
67,"ROBBERY, SECOND DEGREE                CF",Property
68,POSSESSION OF NARCOTICS,Drugs
69,"SEX ASLT, SPOUSE/COHAB RELATIONSHIP   BF",Person
70,TAMPERING WITH OR FABRICATING EVIDNC  DF,Property
71,INJURY/RISK OF INJURY TO MINOR- SEXUAL C,Person
72,"FAILURE TO APPEAR, SECOND DEGREE      AM",Order
73,FELONY MURDER                         AF,Person
74,PROBATION AND CONDITIONAL DISCHARGE,Probation
75,ILL POSSESS CHILD PORN 2ND DEG         F,Person
76,CRIM VIOL RES ORDER                   AM,Order
77,STRANGULATION 1ST DEGREE              CF,Person
78,"BURGLARY, FIRST DEGREE: 53A101A(2)    BF",Property
79,"RECKLESS ENDANGERMENT, SECOND DEGREE  BM",Person
80,SELLING WEAPONS TO ALIENS PROHIBITED   F,Weapons
81,(REPEALED) 53-048,Order
82,ESCAPE FROM CUSTODY,Order
83,"KIDNAPPING, FIRST DEGREE              AF",Person
84,PERMIT TO SELL OR CARRY PISTOL,Weapons
85,CARRYING WEAPON IN A MOTOR VEHICLE     F,Weapons
86,"CRIMINAL MISCHIEF, SECOND DEGREE      AM",Attempt
87,53A021,Order
88,BREACH OF PEACE                       BM,Person
89,CONVEY UNAUTHZD ITEMS INTO INST       DF,Property
90,"MANSLAUGHTER, FIRST DEGREE, FIREARM   BF",Person
91,AGGAVTD SEX ASSLT-VCTM < 13YR         AF,Person
92,"ROBBERY, FIRST DEGREE                BF",Property
93,MANSLAUGHTER 2ND WITH MV (INTOX)      CF,Person
94,CARRYING OR SALE OF DANGEROUS WEAPON,Weapons
95,"CRIMINAL MISCHIEF, FIRST DEGREE       DF",Attempt
96,ASSAULT 2ND WITH MV WHILE INTOXICATED DF,Person
97,DRUG PARAPHERNALIA IN DRUG FACTORY     F,Drugs
98,ORGANIZED RETAIL THEFT                 F,Property
99,OPERATE UNDER INFLU OF LIQ OR DRUGS,Drugs
100,CAPITAL FELONY                         F,Person
101,PROMOTING MINOR IN OBSCENE PERFORMNCE BF,Person
102,CRIMINAL LIABILITY FOR ANOTHER PERSON,Person
103,"MANSLAUGHTER, FIRST DEGREE            BF",Person
104,OBSCENITY                             BM,Person
105,IDENTITY THEFT 3RD DEGREE             DF,Person
106,"CRIMINAL TRESPASS, SECOND DEGREE      BM",Property
107,"ASSAULT 2ND, VICTIM 60+, WITH FIREARM DF",Person
